"","title","author","subject","abstract","meta"
"84","Hill Function-based Model of Transcriptional Response: Impact of Nonspecific Binding and RNAP Interactions","Wenjia Shi, Yao Ma, Peilin Hu, Mi Pang, Xiaona Huang, Yiting Dang, Yuxin Xie, Danni Wu","Molecular Networks (q-bio.MN)","Hill function is one of the widely used gene transcription regulation models. Its attribute of fitting may result in a lack of an underlying physical picture, yet the fitting parameters can provide information about biochemical reactions, such as the number of transcription factors (TFs) and the binding energy between regulatory elements. However, it remains unclear when and how much biochemical information can Hill function provide in addition to fitting. Here, started from the interactions between TFs and RNA polymerase during transcription regulation and both of their association-dissociation reactions at specific/nonspecific sites on DNA, the regulatory effect of TFs was deduced as fold change. We found that, for weak promoter, fold change can degrade into the regulatory factor (Freg) which is closely correlated with Hill function. By directly comparing and fitting with Hill function, the fitting parameters and corresponding biochemical reaction parameters in Freg were analyzed and discussed, where the single TF and multiple TFs that with cooperativity and basic logic effects were considered. We concluded the strength of promoter and interactions between TFs determine whether Hill function can reflect the corresponding biochemical information. Our findings highlight the role of Hill function in modeling/fitting for transcriptional regulation, which also benefits the preparation of synthetic regulatory elements.","Mon, 4 Mar 2024 03:32:56 UTC (1,170 KB)"
"85","Brilla AI: AI Contestant for the National Science and Maths Quiz","George Boateng, Jonathan Abrefah Mensah, Kevin Takyi Yeboah, William Edor, Andrew Kojo Mensah-Onumah, Naafi Dasana Ibrahim, Nana Sam Yeboah","Computation and Language (cs.CL)","The African continent lacks enough qualified teachers which hampers the provision of adequate learning support. An AI could potentially augment the efforts of the limited number of teachers, leading to better learning outcomes. Towards that end, this work describes and evaluates the first key output for the NSMQ AI Grand Challenge, which proposes a robust, real-world benchmark for such an AI: ""Build an AI to compete live in Ghana's National Science and Maths Quiz (NSMQ) competition and win - performing better than the best contestants in all rounds and stages of the competition"". The NSMQ is an annual live science and mathematics competition for senior secondary school students in Ghana in which 3 teams of 2 students compete by answering questions across biology, chemistry, physics, and math in 5 rounds over 5 progressive stages until a winning team is crowned for that year. In this work, we built Brilla AI, an AI contestant that we deployed to unofficially compete remotely and live in the Riddles round of the 2023 NSMQ Grand Finale, the first of its kind in the 30-year history of the competition. Brilla AI is currently available as a web app that livestreams the Riddles round of the contest, and runs 4 machine learning systems: (1) speech to text (2) question extraction (3) question answering and (4) text to speech that work together in real-time to quickly and accurately provide an answer, and then say it with a Ghanaian accent. In its debut, our AI answered one of the 4 riddles ahead of the 3 human contesting teams, unofficially placing second (tied). Improvements and extensions of this AI could potentially be deployed to offer science tutoring to students and eventually enable millions across Africa to have one-on-one learning interactions, democratizing science education.","Mon, 4 Mar 2024 03:24:18 UTC (1,259 KB)"
"86","Structured methods for parameter inference and uncertainty quantification for mechanistic models in the life sciences","Michael J. Plank, Matthew J. Simpson","Quantitative Methods (q-bio.QM)","Parameter inference and uncertainty quantification are important steps when relating mathematical models to real-world observations, and when estimating uncertainty in model predictions. However, methods for doing this can be computationally expensive, particularly when the number of unknown model parameters is large. The aim of this study is to develop and test an efficient profile likelihood-based method, which takes advantage of the structure of the mathematical model being used. We do this by identifying specific parameters that affect model output in a known way, such as a linear scaling. We illustrate the method by applying it to three caricature models from different areas of the life sciences: (i) a predator-prey model from ecology; (ii) a compartment-based epidemic model from health sciences; and, (iii) an advection-diffusion-reaction model describing transport of dissolved solutes from environmental science. We show that the new method produces results of comparable accuracy to existing profile likelihood methods, but with substantially fewer evaluations of the forward model. We conclude that our method could provide a much more efficient approach to parameter inference for models where a structure approach is feasible. Code to apply the new method to user-supplied models and data is provided via a publicly accessible repository.","Mon, 4 Mar 2024 02:13:58 UTC (289 KB)"
"87","Reaction-diffusion models of biological invasion: Open source computational tools, key concepts and analysis","Matthew J Simpson, Scott W McCue","Pattern Formation and Solitons (nlin.PS)","This review provides open-access computational tools that support a range of mathematical approaches to analyse three related scalar reaction-diffusion models used to study biological invasion. Starting with the classic Fisher-Kolmogorov (Fisher-KPP) model, we illustrate how computational methods can be used to explore time-dependent partial differential equation (PDE) solutions in parallel with phase plane and regular perturbation techniques to explore invading travelling wave solutions moving with dimensionless speed $c \ge 2$. To overcome the lack of a well-defined sharp front in solutions of the Fisher-KPP model, we also review two alternative modeling approaches. The first is the Porous-Fisher model where the linear diffusion term is replaced with a degenerate nonlinear diffusion term. Using phase plane and regular perturbation methods, we explore the distinction between sharp- and smooth-fronted invading travelling waves that move with dimensionless speed $c \ge 1/\sqrt{2}$. The second alternative approach is to reformulate the Fisher-KPP model as a moving boundary problem on $0 < x < L(t)$, leading to the Fisher-Stefan model with sharp-fronted travelling wave solutions arising from a PDE model with a linear diffusion term. Time-dependent PDE solutions and phase plane methods show that travelling wave solutions of the Fisher-Stefan model can describe both biological invasion $(c > 0)$ and biological recession $(c < 0)$. Open source Julia code to replicate all computational results in this review is available on GitHub; we encourage researchers to use this code directly or to adapt the code as required for more complicated models.","Mon, 4 Mar 2024 01:39:10 UTC (1,702 KB)[v2] Tue, 5 Mar 2024 07:59:59 UTC (1,703 KB)[v3] Wed, 6 Mar 2024 06:27:18 UTC (1,702 KB)[v4] Thu, 7 Mar 2024 01:29:10 UTC (1,702 KB)[v5] Sat, 9 Mar 2024 01:37:50 UTC (1,702 KB)"
"88","Graph-based variant discovery reveals novel dynamics in the human microbiome","Harihara Subrahmaniam Muralidharan, Jacquelyn S Michaelis, Jay Ghurye, Todd Treangen, Sergey Koren, Marcus Fedarko, Mihai Pop","Genomics (q-bio.GN)","Sequence differences between the strains of bacteria comprising host-associated and environmental microbiota may play a role in community assembly and influence the resilience of microbial communities to disturbances. Tools for characterizing strain-level variation within microbial communities, however, are limited in scope, focusing on just single nucleotide polymorphisms, or relying on reference-based analyses that miss complex functional and structural variants. Here, we demonstrate the power of assembly graph analysis to detect and characterize structural variants in almost 1,000 metagenomes generated as part of the Human Microbiome Project. We identify over nine million variants comprising insertion/deletion events, repeat copy-number changes, and mobile elements such as plasmids. We highlight some of the potential functional roles of these genomic changes. Our analysis revealed striking differences in the rate of variation across body sites, highlighting niche-specific mechanisms of bacterial adaptation. The structural variants we detect also include potentially novel prophage integration events, highlighting the potential use of graph-based analyses for phage discovery.","Sun, 3 Mar 2024 20:36:36 UTC (1,298 KB)"
"89","MetaCompass: Reference-guided Assembly of Metagenomes","Tu Luan, Victoria Cepeda, Bo Liu, Zac Bowen, Ujjwal Ayyangar, Mathieu Almeida, Christopher M. Hill, Sergey Koren, Todd J. Treangen, Adam Porter, Mihai Pop","Genomics (q-bio.GN)","Metagenomic studies have primarily relied on de novo assembly for reconstructing genes and genomes from microbial mixtures. While reference-guided approaches have been employed in the assembly of single organisms, they have not been used in a metagenomic context. Here we describe the first effective approach for reference-guided metagenomic assembly that can complement and improve upon de novo metagenomic assembly methods for certain organisms. Such approaches will be increasingly useful as more genomes are sequenced and made publicly available.","Sun, 3 Mar 2024 18:00:46 UTC (1,075 KB)"
"90","Leveraging Biomolecule and Natural Language through Multi-Modal Learning: A Survey","Qizhi Pei, Lijun Wu, Kaiyuan Gao, Jinhua Zhu, Yue Wang, Zun Wang, Tao Qin, Rui Yan","Computation and Language (cs.CL)","The integration of biomolecular modeling with natural language (BL) has emerged as a promising interdisciplinary area at the intersection of artificial intelligence, chemistry and biology. This approach leverages the rich, multifaceted descriptions of biomolecules contained within textual data sources to enhance our fundamental understanding and enable downstream computational tasks such as biomolecule property prediction. The fusion of the nuanced narratives expressed through natural language with the structural and functional specifics of biomolecules described via various molecular modeling techniques opens new avenues for comprehensively representing and analyzing biomolecules. By incorporating the contextual language data that surrounds biomolecules into their modeling, BL aims to capture a holistic view encompassing both the symbolic qualities conveyed through language as well as quantitative structural characteristics. In this review, we provide an extensive analysis of recent advancements achieved through cross modeling of biomolecules and natural language. (1) We begin by outlining the technical representations of biomolecules employed, including sequences, 2D graphs, and 3D structures. (2) We then examine in depth the rationale and key objectives underlying effective multi-modal integration of language and molecular data sources. (3) We subsequently survey the practical applications enabled to date in this developing research area. (4) We also compile and summarize the available resources and datasets to facilitate future work. (5) Looking ahead, we identify several promising research directions worthy of further exploration and investment to continue advancing the field. The related resources and contents are updating in \url{this https URL}.","Sun, 3 Mar 2024 14:59:47 UTC (1,299 KB)[v2] Tue, 5 Mar 2024 11:12:47 UTC (1,299 KB)"
"91","BrainMass: Advancing Brain Network Analysis for Diagnosis with Large-scale Self-Supervised Learning","Yanwu Yang, Chenfei Ye, Guinan Su, Ziyao Zhang, Zhikai Chang, Hairui Chen, Piu Chan, Yue Yu, Ting Ma","Computational Engineering, Finance, and Science (cs.CE)","Foundation models pretrained on large-scale datasets via self-supervised learning demonstrate exceptional versatility across various tasks. Due to the heterogeneity and hard-to-collect medical data, this approach is especially beneficial for medical image analysis and neuroscience research, as it streamlines broad downstream tasks without the need for numerous costly annotations. However, there has been limited investigation into brain network foundation models, limiting their adaptability and generalizability for broad neuroscience studies. In this study, we aim to bridge this gap. In particular, (1) we curated a comprehensive dataset by collating images from 30 datasets, which comprises 70,781 samples of 46,686 participants. Moreover, we introduce pseudo-functional connectivity (pFC) to further generates millions of augmented brain networks by randomly dropping certain timepoints of the BOLD signal. (2) We propose the BrainMass framework for brain network self-supervised learning via mask modeling and feature alignment. BrainMass employs Mask-ROI Modeling (MRM) to bolster intra-network dependencies and regional specificity. Furthermore, Latent Representation Alignment (LRA) module is utilized to regularize augmented brain networks of the same participant with similar topological properties to yield similar latent representations by aligning their latent embeddings. Extensive experiments on eight internal tasks and seven external brain disorder diagnosis tasks show BrainMass's superior performance, highlighting its significant generalizability and adaptability. Nonetheless, BrainMass demonstrates powerful few/zero-shot learning abilities and exhibits meaningful interpretation to various diseases, showcasing its potential use for clinical applications.","Sun, 3 Mar 2024 08:08:28 UTC (3,093 KB)"
"92","Postharvest litchi (Litchi chinensis Sonn.) quality preservation by alginate oligosaccharides","Jianlie Shen, Shulin Wan, Haidong Tan","Other Quantitative Biology (q-bio.OT)","This study investigates the efficacy of alginate oligosaccharides, derived from a novel alginate lyase expressed in E. coli (Pet21a-alginate lyase), in preserving the postharvest quality of litchi (Litchi chinensis Sonn.) fruits. The alginate lyase, characterized by Huang et al. (2013), was employed to produce AOS through enzymatic degradation of alginate. The resulting oligosaccharides were applied to litchi fruits harvested from Guangzhou Zengcheng to evaluate their impact on various quality parameters under controlled storage conditions. The study focused on measuring the effects of alginate oligosaccharide treatment on the fruits' color retention, water loss rate, hardness, and susceptibility to mold infection, under a set relative humidity and temperature. Results demonstrated significant improvements in the treated fruits, with enhanced color retention, reduced water loss, maintained hardness, and lower rates of mold infection compared to untreated controls. These findings suggest that AOS offer a promising natural alternative for extending the shelf life and maintaining the quality of litchi fruits postharvest.","Sun, 3 Mar 2024 03:07:46 UTC (523 KB)"
"93","Inferring potential landscapes: A Schrödinger bridge approach to Maximum Caliber","Olga Movilla Miangolarra, Asmaa Eldesoukey, Tryphon T. Georgiou","Statistical Mechanics (cond-mat.stat-mech)","Schrödinger bridges have emerged as an enabling framework for unveiling the stochastic dynamics of systems based on marginal observations at different points in time. The terminology ""bridge'' refers to a probability law that suitably interpolates such marginals. The theory plays a pivotal role in a variety of contemporary developments in machine learning, stochastic control, thermodynamics, and biology, to name a few, impacting disciplines such as single-cell genomics, meteorology, and robotics. In this work, we extend Schrödinger's paradigm of bridges to account for integral constraints along paths, in a way akin to Maximum Caliber - a Maximum Entropy principle applied in a dynamic context. The Maximum Caliber principle has proven useful to infer the dynamics of complex systems e.g., that model gene circuits and protein folding. We unify these two problems via a maximum likelihood formulation to reconcile stochastic dynamics with ensemble-path data. A variety of data types can be encompassed, ranging from distribution moments to average currents along paths. The framework enables inference of time-varying potential landscapes that drive the process. The resulting forces can be interpreted as the optimal control that drives the system in a way that abides by specified integral constraints. Analogous results are presented in a discrete-time, discrete-space setting and specialized to steady-state dynamics. We finish by illustrating the practical applicability of the framework through paradigmatic examples, such as that of bit erasure or protein folding. In doing so, we highlight the strengths of the proposed framework, namely, the generality of the theory, the ease of computation, and the ability to interpret results in terms of system dynamics. This is in contrast to Maximum-Caliber problems where the focus is typically on updating a probability law on paths.","Sun, 3 Mar 2024 01:11:50 UTC (1,047 KB)"
"94","Chaining thoughts and LLMs to learn DNA structural biophysics","Tyler D. Ross, Ashwin Gopinath","Quantitative Methods (q-bio.QM)","The future development of an AI scientist, a tool that is capable of integrating a variety of experimental data and generating testable hypotheses, holds immense potential. So far, bespoke machine learning models have been created to specialize in singular scientific tasks, but otherwise lack the flexibility of a general purpose model. Here, we show that a general purpose large language model, chatGPT 3.5-turbo, can be fine-tuned to learn the structural biophysics of DNA. We find that both fine-tuning models to return chain-of-thought responses and chaining together models fine-tuned for subtasks have an enhanced ability to analyze and design DNA sequences and their structures.","Sat, 2 Mar 2024 22:38:01 UTC (200 KB)"
"95","On the uniqueness of the maximum parsimony tree for data with few substitutions within the NNI neighborhood","Mareike Fischer","Populations and Evolution (q-bio.PE)","Estimating species relationship trees, so-called phylogenetic trees, from aligned sequence data (such as DNA, RNA, or proteins) is one of the main aims of evolutionary biology. However, tree reconstruction criteria like maximum parsimony do not necessarily lead to unique trees and in some cases even fail to recognize the \enquote{correct} tree (i.e., the tree on which the data was generated). On the other hand, a recent study has shown that for an alignment containing precisely those characters (sites) which require up to two substitutions on a given tree, this tree will be the unique maximum parsimony tree. It is the aim of the present manuscript to generalize this recent result in the following sense: We show that for a tree with $n$ leaves, as long as $k< \frac{n}{8}+\frac{6}{5}-\frac{1}{10} \sqrt{\frac{5}{16} n^2+4}$ (or, equivalently, $n>8 k-\frac{46}{5}+\frac{2}{5} \sqrt{40 k-31} $), the maximum parsimony tree for the alignment containing all characters which require (up to or precisely) $k$ substitutions on a given tree $T$ will be unique in the NNI neighborhood of $T$ and it will coincide with $T$, too. In other words, within the NNI neighborhood of $T$, $T$ is the unique most parsimonious tree for said alignment. This partially answers a recently published conjecture affirmatively.","Sat, 2 Mar 2024 18:30:18 UTC (159 KB)"
"96","A universal niche geometry governs the response of ecosystems to environmental perturbations","Akshit Goyal, Jason W. Rocks, Pankaj Mehta","Populations and Evolution (q-bio.PE)","How ecosystems respond to environmental perturbations is a fundamental question in ecology, made especially challenging due to the strong coupling between species and their environment. Here, we introduce a theoretical framework for calculating the linear response of ecosystems to environmental perturbations in generalized consumer-resource models. Our construction is applicable to a wide class of systems, including models with non-reciprocal interactions, cross-feeding, and non-linear growth/consumption rates. Within our framework, all ecological variables are embedded into four distinct vector spaces and ecological interactions are represented by geometric transformations between these spaces. We show that near a steady state, such geometric transformations directly map environmental perturbations -- in resource availability and mortality rates -- to shifts in niche structure. We illustrate these ideas in a variety of settings including a minimal model for pH-induced toxicity in bacterial denitrification.","Sat, 2 Mar 2024 17:47:04 UTC (10,308 KB)"
"97","$Γ$-VAE: Curvature regularized variational autoencoders for uncovering emergent low dimensional geometric structure in high dimensional data","Jason Z. Kim, Nicolas Perrin-Gilbert, Erkan Narmanli, Paul Klein, Christopher R. Myers, Itai Cohen, Joshua J. Waterfall, James P. Sethna","Machine Learning (cs.LG)","Natural systems with emergent behaviors often organize along low-dimensional subsets of high-dimensional spaces. For example, despite the tens of thousands of genes in the human genome, the principled study of genomics is fruitful because biological processes rely on coordinated organization that results in lower dimensional phenotypes. To uncover this organization, many nonlinear dimensionality reduction techniques have successfully embedded high-dimensional data into low-dimensional spaces by preserving local similarities between data points. However, the nonlinearities in these methods allow for too much curvature to preserve general trends across multiple non-neighboring data clusters, thereby limiting their interpretability and generalizability to out-of-distribution data. Here, we address both of these limitations by regularizing the curvature of manifolds generated by variational autoencoders, a process we coin ``$\Gamma$-VAE''. We demonstrate its utility using two example data sets: bulk RNA-seq from the The Cancer Genome Atlas (TCGA) and the Genotype Tissue Expression (GTEx); and single cell RNA-seq from a lineage tracing experiment in hematopoietic stem cell differentiation. We find that the resulting regularized manifolds identify mesoscale structure associated with different cancer cell types, and accurately re-embed tissues from completely unseen, out-of distribution cancers as if they were originally trained on them. Finally, we show that preserving long-range relationships to differentiated cells separates undifferentiated cells -- which have not yet specialized -- according to their eventual fate. Broadly, we anticipate that regularizing the curvature of generative models will enable more consistent, predictive, and generalizable models in any high-dimensional system with emergent low-dimensional behavior.","Sat, 2 Mar 2024 03:26:09 UTC (15,801 KB)"
"98","An internal sensory model allows for balance control based on non-actionable proprioceptive feedback","Eric Maris","Neurons and Cognition (q-bio.NC)","All motor tasks with a mechanical system (a human body, a rider on a bicycle) that is approximately linear in the part of the state space where it stays most of the time (e.g., upright balance control) have the following property: actionable sensory feedback allows for optimal control actions that are a simple linear combination of the sensory feedback. When only non-actionable sensory feedback is available, optimal control for these approximately linear mechanical systems is based on an internal dynamical system that estimates the states, and that can be implemented as a recurrent neural network (RNN). It uses a sensory model to update the state estimates with the non-actionable sensory feedback, and the weights of this RNN are fully specified by results from optimal feedback control. This is highly relevant for muscle spindle afferent firing rates which, under perfectly coordinated fusimotor and skeletomotor control, scale with the exafferent joint acceleration component. The resulting control mechanism balances a standing body and a rider-bicycle combination using realistic parameter values and with forcing torques that are feasible for humans.","Fri, 1 Mar 2024 19:58:22 UTC (976 KB)[v2] Tue, 5 Mar 2024 16:58:19 UTC (933 KB)"
"99","History-dependence shapes causal inference of brain-behaviour relationships","Brandon Caie, Gunnar Blohm","Neurons and Cognition (q-bio.NC)","Behavioural and neural time series are often correlated with the past. This history-dependence may represent a fundamental property of the measured variables, or may arise from how confounding variables change over time. Here we argue that undecidability about the ground-truth of history-dependence is a general computational property of systems that exchange information with its environment, and show that the resulting uncertainty has a direct impact on causal inference. We first argue that uncertainty in the ground truth of history-dependence is an inherent property of open systems that cannot be explicitly falsified. Simple model systems are then simulated to show how different assumptions about history-dependence can lead to spurious correlations and statistical properties of data distributions that are typically unaccounted for. We then consider this problem from an interventionist perspective, showing that interventions can only be guaranteed to remedy the spurious correlation problem when the latent dynamics between the intervention and measured processes are known a priori, and the effect of the intervention is invariant at the chosen level of analysis. We conclude that uncertainty about history-dependence is a fundamental property of the study of neural systems, and in light of this discuss how causality should be assessed in neuroscience.","Fri, 1 Mar 2024 19:54:50 UTC (3,644 KB)"
"100","Counting the uncounted : estimating the unaccounted COVID-19 infections in India","Debashis Saikia, Kalpana Bora, Madhurjya P. Bora","Populations and Evolution (q-bio.PE)","Undetected infectious populations have played a major role in the COVID-19 outbreak across the globe and estimation of this undetected class is a major concern in understanding the actual size of the COVID-19 infections. Due to the asymptomatic nature of some infections, many cases have gone undetected. Also, despite carrying COVID-19 symptoms, most of the infected population kept the infections hidden and stayed unreported, especially in a country like India. Based on these factors, we have added an undetected compartment to the already developed SEIR model [48] to estimate these uncounted infections. In this article, we have applied Physics Informed Neural Network (PINN) to estimate the undetected infectious populations in the 20 worst-affected Indian states as well as India as a whole. The analysis has been carried out for the first as well as second surge of COVID-19 infections in India. A ratio of the active undetected infectious to the active detected infectious population is calculated through the PINN analysis which gives a picture of the real size of the pandemic in India. The rate at which symptomatic infectious population goes undetected and are never reported is also estimated using the PINN method. Toward the end, an artificial neural network (ANN) based forecasting scenario of the pandemic in India is presented. The prediction is found to be reliable as the training of the neural network has been carried out using the unique features, obtained from the state-wide analysis of the newly proposed model as well as from the PINN analysis.","Fri, 1 Mar 2024 18:17:15 UTC (694 KB)"
"101","Enhancing Protein Predictive Models via Proteins Data Augmentation: A Benchmark and New Directions","Rui Sun, Lirong Wu, Haitao Lin, Yufei Huang, Stan Z. Li","Quantitative Methods (q-bio.QM)","Augmentation is an effective alternative to utilize the small amount of labeled protein data. However, most of the existing work focuses on design-ing new architectures or pre-training tasks, and relatively little work has studied data augmentation for proteins. This paper extends data augmentation techniques previously used for images and texts to proteins and then benchmarks these techniques on a variety of protein-related tasks, providing the first comprehensive evaluation of protein augmentation. Furthermore, we propose two novel semantic-level protein augmentation methods, namely Integrated Gradients Substitution and Back Translation Substitution, which enable protein semantic-aware augmentation through saliency detection and biological knowledge. Finally, we integrate extended and proposed augmentations into an augmentation pool and propose a simple but effective framework, namely Automated Protein Augmentation (APA), which can adaptively select the most suitable augmentation combinations for different tasks. Extensive experiments have shown that APA enhances the performance of five protein related tasks by an average of 10.55% across three architectures compared to vanilla implementations without augmentation, highlighting its potential to make a great impact on the field.","Fri, 1 Mar 2024 07:58:29 UTC (1,037 KB)"
"102","Speaker-Independent Dysarthria Severity Classification using Self-Supervised Transformers and Multi-Task Learning","Lauren Stumpf, Balasundaram Kadirvelu, Sigourney Waibel, A. Aldo Faisal","Neurons and Cognition (q-bio.NC)","Dysarthria, a condition resulting from impaired control of the speech muscles due to neurological disorders, significantly impacts the communication and quality of life of patients. The condition's complexity, human scoring and varied presentations make its assessment and management challenging. This study presents a transformer-based framework for automatically assessing dysarthria severity from raw speech data. It can offer an objective, repeatable, accessible, standardised and cost-effective and compared to traditional methods requiring human expert assessors. We develop a transformer framework, called Speaker-Agnostic Latent Regularisation (SALR), incorporating a multi-task learning objective and contrastive learning for speaker-independent multi-class dysarthria severity classification. The multi-task framework is designed to reduce reliance on speaker-specific characteristics and address the intrinsic intra-class variability of dysarthric speech. We evaluated on the Universal Access Speech dataset using leave-one-speaker-out cross-validation, our model demonstrated superior performance over traditional machine learning approaches, with an accuracy of $70.48\%$ and an F1 score of $59.23\%$. Our SALR model also exceeded the previous benchmark for AI-based classification, which used support vector machines, by $16.58\%$. We open the black box of our model by visualising the latent space where we can observe how the model substantially reduces speaker-specific cues and amplifies task-specific ones, thereby showing its robustness. In conclusion, SALR establishes a new benchmark in speaker-independent multi-class dysarthria severity classification using generative AI. The potential implications of our findings for broader clinical applications in automated dysarthria severity assessments.","Thu, 29 Feb 2024 18:30:52 UTC (671 KB)"
"103","Implementation of an AI-based MRD evaluation and prediction model for multiple myeloma","Jianfeng Chen, Jize Xiong, Yixu Wang, Qi Xin, Hong Zhou","Quantitative Methods (q-bio.QM)","With the application of hematopoietic stem cell transplantation and new drugs, the progression-free survival rate and overall survival rate of multiple myeloma have been greatly improved, but it is still considered as a kind of disease that cannot be completely cured. Many patients have disease recurrence after complete remission, which is rooted in the presence of minimal residual disease MRD in patients. Studies have shown that positive MRD is an independent adverse prognostic factor affecting survival, so MRD detection is an important indicator to judge the prognosis of patients and guide clinical treatment. At present, multipa-rameter flow cytometry (MFC), polymerase chain reaction (PCR), positron emission tomography (positron emission) Several techniques, such as PET/computer tomography (CT), have been used for MRD detection of multiple myeloma.However, there is still no cure for the disease. ""IFM2013-04"" four clinical studies confirmed for the first time that proteasome inhibitors (PIs) and immunomodulatory drugs, The synergism and importance of the combination of IMiDs in the treatment of MM, the large Phase 3 clinical study SWOG SO777 compared the combination of bortezomib plus lenalidomide and dexamethasone. The efficacy of VRD and D established the status of VRD first-line treatment of MM, and due to the good efficacy of CD38 monoclonal antibody in large clinical studies, combination therapy with VRD has been recommended as the first-line treatment of MM. However, to explore the clinical value and problems of applying artificial intelligence bone marrow cell recognition system Morphogo in the detection of multiple myeloma minimal residual disease (MRD)","Thu, 29 Feb 2024 12:10:53 UTC (765 KB)"
"104","RAM-EHR: Retrieval Augmentation Meets Clinical Predictions on Electronic Health Records","Ran Xu, Wenqi Shi, Yue Yu, Yuchen Zhuang, Bowen Jin, May D. Wang, Joyce C. Ho, Carl Yang","Computation and Language (cs.CL)","We present RAM-EHR, a Retrieval AugMentation pipeline to improve clinical predictions on Electronic Health Records (EHRs). RAM-EHR first collects multiple knowledge sources, converts them into text format, and uses dense retrieval to obtain information related to medical concepts. This strategy addresses the difficulties associated with complex names for the concepts. RAM-EHR then augments the local EHR predictive model co-trained with consistency regularization to capture complementary information from patient visits and summarized knowledge. Experiments on two EHR datasets show the efficacy of RAM-EHR over previous knowledge-enhanced baselines (3.4% gain in AUROC and 7.2% gain in AUPR), emphasizing the effectiveness of the summarized knowledge from RAM-EHR for clinical prediction tasks. The code will be published at \url{this https URL}.","Sun, 25 Feb 2024 23:10:20 UTC (8,166 KB)"
"105","$\textit{L+M-24}$: Building a Dataset for Language + Molecules @ ACL 2024","Carl Edwards, Qingyun Wang, Lawrence Zhao, Heng Ji","Computation and Language (cs.CL)","Language-molecule models have emerged as an exciting direction for molecular discovery and understanding. However, training these models is challenging due to the scarcity of molecule-language pair datasets. At this point, datasets have been released which are 1) small and scraped from existing databases, 2) large but noisy and constructed by performing entity linking on the scientific literature, and 3) built by converting property prediction datasets to natural language using templates. In this document, we detail the $\textit{L+M-24}$ dataset, which has been created for the Language + Molecules Workshop shared task at ACL 2024. In particular, $\textit{L+M-24}$ is designed to focus on three key benefits of natural language in molecule design: compositionality, functionality, and abstraction.","Thu, 22 Feb 2024 20:11:24 UTC (833 KB)"
"106","Single-channel and multi-channel electrospinning for the fabrication of PLA/PCL tissue engineering scaffolds: comparative study of the materials physicochemical and biological properties","Semen Goreninskii, Ulyana Chernova, Elisaveta Prosetskaya, Alina Laushkina, Alexander Mishanin, Alexey Golovkin, Evgeny Bolbasov","Tissues and Organs (q-bio.TO)","Fabrication of tissue engineering scaffolds with tailored physicochemical and biological characteristics is a relevant task in biomedical engineering. The present work was focused at the evaluation of the effect of fabrication approach (single-channel or multi-channel electrospinning) on the properties of the fabricated poly(lactic acid)(PLA)/poly(epsilon-caprolactone)(PCL) scaffolds with various polymer mass ratios (1/0, 2/1, 1/1, 1/2, and 0/1). The scaffolds with same morphology (regardless of electrospinning variant) were fabricated and characterized using SEM, water contact angle measurement, FTIR, XRD, tensile testing and in vitro experiment with multipotent mesenchymal stem cells. It was demonstrated, that multi-channel electrospinning prevents intermolecular interactions between the polymer components of the scaffold, preserving their crystal structure, what affects the mechanical characteristics of the scaffold (particularly, leads to 2-fold difference in elongation). Better adhesion of multipotent mesenchymal stem cells on the surface of the scaffolds fabricated using multichannel electrospinning was demonstrated.","Fri, 9 Feb 2024 07:28:12 UTC (870 KB)"
"107","Few-shot genes selection: subset of PAM50 genes for breast cancer subtypes classification","Leandro Y. S. Okimoto, Rayol Mendonca-Neto, Fabíola G. Nakamura, Eduardo F. Nakamura, David Fenyö, Claudio T. Silva","Quantitative Methods (q-bio.QM)","Background: In recent years, researchers have made significant strides in understanding the heterogeneity of breast cancer and its various subtypes. However, the wealth of genomic and proteomic data available today necessitates efficient frameworks, instruments, and computational tools for meaningful analysis. Despite its success as a prognostic tool, the PAM50 gene signature's reliance on many genes presents challenges in terms of cost and complexity. Consequently, there is a need for more efficient methods to classify breast cancer subtypes using a reduced gene set accurately. Results: This study explores the potential of achieving precise breast cancer subtype categorization using a reduced gene set derived from the PAM50 gene signature. By employing a ""Few-Shot Genes Selection"" method, we randomly select smaller subsets from PAM50 and evaluate their performance using metrics and a linear model, specifically the Support Vector Machine (SVM) classifier. In addition, we aim to assess whether a more compact gene set can maintain performance while simplifying the classification process. Our findings demonstrate that certain reduced gene subsets can perform comparable or superior to the full PAM50 gene signature. Conclusions: The identified gene subsets, with 36 genes, have the potential to contribute to the development of more cost-effective and streamlined diagnostic tools in breast cancer research and clinical settings.","Fri, 1 Mar 2024 18:04:54 UTC (2,596 KB)"
